0.00,5.000,18.271,17.771,17.771,0.271,0.000,0.7241,0.000,5.000,0.500,2720.67
5.00,5.000,18.247,6.547,31.398,25.098,24.851,0.9303,3.760,5.640,11.700,382.63
6.00,1.000,18.243,6.543,33.723,27.423,27.180,0.9634,22.251,6.281,11.700,412.35
11.00,5.000,18.243,6.543,26.689,20.389,20.146,0.9989,25.000,6.921,11.700,444.55
16.00,5.000,18.239,6.548,6.548,0.239,0.000,1.0000,25.000,6.977,11.691,447.30
21.00,5.000,18.235,6.553,22.612,16.293,16.058,1.0000,25.000,7.032,11.681,449.55
26.00,5.000,18.231,6.559,34.767,28.439,28.208,1.0000,25.000,7.087,11.672,451.78
31.00,5.000,18.227,6.564,17.655,11.318,11.091,1.0000,25.000,7.142,11.663,453.98
36.00,5.000,18.223,6.569,6.569,0.223,0.000,1.0000,25.000,7.196,11.654,456.17
41.00,5.000,18.219,6.574,30.284,23.929,23.710,1.0000,25.000,7.249,11.645,458.33
46.00,5.000,18.214,6.579,31.613,25.248,25.034,1.0000,25.000,7.303,11.636,460.48
51.00,5.000,18.210,6.584,6.967,0.594,0.384,1.0000,25.000,7.356,11.627,462.60
56.00,5.000,18.206,6.590,6.590,0.206,0.000,1.0000,25.000,7.416,11.617,465.14
61.00,5.000,18.202,6.594,6.594,0.202,0.000,1.0000,25.000,7.468,11.608,467.23
66.00,5.000,18.198,6.599,6.599,0.198,0.000,1.0000,25.000,7.520,11.599,469.30
71.00,5.000,18.194,6.603,6.603,0.194,0.000,1.0000,25.000,7.571,11.590,471.35
76.00,5.000,18.189,6.608,6.608,0.189,0.000,1.0000,25.000,7.622,11.582,473.39
81.00,5.000,18.185,6.612,6.612,0.185,0.000,1.0000,25.000,7.673,11.573,475.41
86.00,5.000,18.181,6.616,6.616,0.181,0.000,1.0000,25.000,7.724,11.565,477.41
91.00,5.000,18.177,6.620,6.620,0.177,0.000,1.0000,25.000,7.774,11.556,479.39
96.00,5.000,18.172,6.625,6.625,0.172,0.000,1.0000,25.000,7.823,11.548,481.36
101.00,5.000,18.168,6.629,6.629,0.168,0.000,1.0000,25.000,7.873,11.540,483.31
106.00,5.000,18.164,6.633,6.633,0.164,0.000,1.0000,25.000,7.922,11.531,485.25
111.00,5.000,18.160,6.636,6.636,0.160,0.000,1.0000,25.000,7.971,11.523,487.17
116.00,5.000,18.155,6.640,6.640,0.155,0.000,1.0000,25.000,8.019,11.515,489.07
121.00,5.000,18.151,6.644,6.644,0.151,0.000,1.0000,25.000,8.067,11.507,490.96
126.00,5.000,18.146,6.648,6.648,0.146,0.000,1.0000,25.000,8.115,11.499,492.83
131.00,5.000,18.142,6.651,6.651,0.142,0.000,1.0000,25.000,8.163,11.491,494.69
136.00,5.000,18.138,6.655,6.655,0.138,0.000,1.0000,25.000,8.210,11.483,496.54
141.00,5.000,18.133,6.658,6.658,0.133,0.000,1.0000,25.000,8.257,11.475,498.37
146.00,5.000,18.129,6.662,6.662,0.129,0.000,1.0000,25.000,8.304,11.467,500.18
